label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_er_plus
27289,2563.5862068965516,1277.7068965517242,46.078440958139815,7.659562206004206,6403.258620689655,2574863,False,True
27290,2560.5789473684213,1531.2105263157894,15.094661693183733,4.383961699440422,3123.0526315789475,1377078,False,False
27291,2561.891304347826,1728.5869565217392,36.544970415076406,6.821326959884849,3347.0,1483738,False,False
27292,2561.064516129032,2390.3225806451615,24.628132236247144,5.599777841678784,4372.419354838709,1718702,False,False
27293,2564.5825242718447,2573.4174757281553,81.8289554946276,10.207245565779907,2951.2718446601943,1354375,False,True
27294,2562.9830508474574,3160.576271186441,46.87289683672844,7.7253107270073205,6478.440677966101,2741679,False,False
27295,2565.496,3427.312,99.3069848235772,11.244624499990792,6926.312,2985935,False,True
27296,2563.890756302521,3517.4453781512607,94.5402495520455,10.97143492432941,5713.1596638655465,2421219,False,True
27297,2563.8695652173915,3610.5072463768115,54.81745562261461,8.354385210204148,4641.0,2089446,False,False
27298,2563.779411764706,821.4852941176471,54.022999744025995,8.293625238658391,4764.676470588235,1942988,False,True
27299,2568.2083333333335,920.0416666666666,76.26776434450728,9.85429518291233,3997.9895833333335,1658982,False,False
27300,2562.6382978723404,1585.8297872340424,37.33942629366503,6.895073178351208,4440.872340425532,1663697,False,False
27301,2564.158878504673,1686.2897196261683,85.00677900898208,10.403556728580803,4646.897196261682,1940409,False,False
27302,2563.73417721519,1885.7721518987341,62.76201440850079,8.939299673472261,3664.9493670886077,1508046,False,False
27303,2565.088888888889,1936.7,71.50102907297558,9.541380283007856,4218.833333333333,1640094,False,False
27304,2564.6625,2044.9625,63.556470287089404,8.995699599992633,2884.8375,1369642,False,False
27305,2564.793103448276,2132.6637931034484,92.15688191627963,10.832256753571532,3932.939655172414,1512178,False,False
27306,2564.0377358490564,2163.7735849056603,42.10616156519673,7.321968996234298,4332.301886792453,1681072,False,False
27307,2564.3278688524592,2235.1311475409834,48.46180859390567,7.855156975589161,4411.163934426229,1801826,False,False
27308,2563.4727272727273,2261.836363636364,43.695073322373965,7.45884007498143,5784.654545454546,2416567,False,False
27309,2565.8225806451615,2512.8629032258063,98.51252894498857,11.199555683357568,3415.685483870968,1469089,False,False
27310,2563.821917808219,2893.945205479452,57.99527913696908,8.593129977205233,5186.1506849315065,2152848,False,True
27311,2564.553191489362,3292.9148936170213,37.33942629366503,6.895073178351208,8918.27659574468,4076948,False,False
27312,2566.753086419753,113.76543209876543,64.35092616567802,9.051748114838038,5667.530864197531,2313427,False,False
27313,2564.7017543859647,573.561403508772,45.2839850795512,7.593244401866813,5929.596491228071,2133594,False,True
27314,2565.7524752475247,834.9702970297029,80.24004373745038,10.107660300870862,4592.742574257426,1962311,False,True
27315,2565.777777777778,965.7361111111111,57.20082325838047,8.534069964792698,4230.861111111111,1776395,False,False
27316,2564.0,1151.3877551020407,38.92833805084226,7.0402485337629175,3928.326530612245,1648325,False,False
27317,2566.425287356322,1248.6206896551723,69.11766143720973,9.381009528908498,4996.310344827586,2142129,False,True
27318,2563.7291666666665,1600.4166666666667,38.13388217225364,6.968038947651237,3869.3333333333335,1593550,False,False
27319,2567.0898876404494,1749.112359550562,70.70657319438696,9.48822454750122,4255.797752808989,1776944,False,True
27320,2565.4057971014495,1823.9710144927535,54.81745562261461,8.354385210204148,4746.478260869565,1870647,False,False
27321,2564.3333333333335,2289.4333333333334,47.66735271531705,7.7905043784071335,6726.233333333334,2472052,False,False
27322,2564.621212121212,2313.1666666666665,52.43408798684876,8.170749923781708,4400.621212121212,1957784,False,False
27323,2563.872340425532,2468.936170212766,37.33942629366503,6.895073178351208,3938.6170212765956,1641096,False,False
27324,2567.432624113475,2499.7304964539007,112.01827888099507,11.942617066809715,3157.5886524822695,1430788,False,True
27325,2567.694214876033,2786.0165289256197,96.12916130922272,11.063247695913157,5626.272727272727,2250880,False,True
27326,2566.4094488188975,2871.566929133858,100.89589658075442,11.334224518162936,5413.346456692913,2218000,False,True
27327,2565.714285714286,2964.457142857143,83.41786725180484,10.305868586512553,5337.314285714286,2409540,False,True
27328,2563.9166666666665,3507.125,19.06694108612682,4.927147591456165,5489.708333333333,2496548,False,False
27329,2566.463087248322,3620.026845637584,118.37392590970401,12.276740753709245,4092.0604026845635,1930481,False,True
27330,2566.436507936508,3734.8333333333335,100.10144070216582,11.289513399033613,4873.611111111111,1948236,False,False
27331,2565.8070175438597,152.6140350877193,45.2839850795512,7.593244401866813,4486.070175438596,2255645,False,False
27332,2565.901639344262,405.75409836065575,48.46180859390567,7.855156975589161,5014.147540983607,2202981,False,False
27333,2567.243902439024,1064.158536585366,65.14538204426664,9.107451705918638,4515.3536585365855,1913933,False,False
27334,2566.5584415584417,1384.948051948052,61.17310265132355,8.825418594594172,4853.402597402597,1815973,False,False
27335,2565.4444444444443,2013.0,28.600411629190233,6.034498743225358,3213.3611111111113,1465862,False,False
27336,2565.5,2084.64,39.72279392943088,7.111724970660583,2900.5,1280760,False,False
27337,2566.3958333333335,2203.25,38.13388217225364,6.968038947651237,5257.583333333333,1738895,False,False
27338,2567.4094488188975,3091.417322834646,100.89589658075442,11.334224518162936,5338.952755905511,2515012,False,True
27339,2568.81935483871,3479.4064516129033,123.14066118123571,12.521483912890815,5293.916129032258,2425552,False,True
27340,2565.6111111111113,158.22222222222223,14.300205814595117,4.267034982396349,5039.555555555556,2213150,False,False
27341,2565.823529411765,316.47058823529414,40.51724980801949,7.182490146145945,6262.098039215686,2508046,False,False
27342,2567.1153846153848,437.46153846153845,61.96755852991217,8.882541641387048,5436.884615384615,2088083,False,True
27343,2568.057471264368,565.4367816091954,69.11766143720973,9.381009528908498,4552.3218390804595,2136403,False,True
27344,2568.715976331361,713.1065088757397,134.26304348147636,13.074747276988276,5317.360946745562,2680628,False,True
27345,2567.4871794871797,1012.7564102564103,61.96755852991217,8.882541641387048,4549.705128205128,1887750,False,True
27346,2565.6774193548385,1420.967741935484,24.628132236247144,5.599777841678784,5712.903225806452,2056358,False,False
27347,2567.2450980392155,1532.6176470588234,81.03449961603899,10.157574976290709,3424.5098039215686,1429262,False,False
27348,2566.109375,1645.0,50.84517622967152,8.045998324300477,4541.875,1915556,False,True
27349,2567.3008130081303,1911.4146341463415,97.71807306639995,11.15430476827043,3781.162601626016,1610791,False,False
27350,2567.0714285714284,2224.1071428571427,44.48952920096258,7.526342266022409,3942.8035714285716,1687235,False,False
27351,2567.2323232323233,2664.151515151515,78.65113198027314,10.007084064574864,3725.121212121212,1650507,False,True
27352,2566.6774193548385,2884.2741935483873,49.25626447249429,7.919281769978475,5166.854838709677,2062508,False,True
27353,2567.5066666666667,3025.36,59.58419089414632,8.710048684564047,6122.613333333334,2568133,False,True
27354,2566.3611111111113,3077.25,57.20082325838047,8.534069964792698,6313.861111111111,2535773,False,False
27355,2566.5283018867926,3174.566037735849,42.10616156519673,7.321968996234298,6672.433962264151,2618357,False,False
27356,2567.2926829268295,3304.9024390243903,65.14538204426664,9.107451705918638,13702.0,4671298,False,False
27357,2566.7,3333.56,39.72279392943088,7.111724970660583,7528.32,3088418,False,False
27358,2567.3793103448274,3370.844827586207,46.078440958139815,7.659562206004206,7653.913793103448,3360508,False,False
27359,2571.5449101796407,3746.1556886227545,132.67413172429914,12.997151652372901,4088.7185628742513,1669173,False,True
27360,2568.671232876712,176.1917808219178,57.99527913696908,8.593129977205233,4939.013698630137,2169300,False,True
27361,2568.2073170731705,248.5731707317073,65.14538204426664,9.107451705918638,5145.170731707317,2200402,False,True
27362,2567.955882352941,1054.2941176470588,54.022999744025995,8.293625238658391,4802.088235294118,1963240,False,False
27363,2566.1153846153848,1366.8461538461538,20.655852843304057,5.128337807742873,3590.3076923076924,1605504,False,True
27364,2567.6833333333334,1447.0666666666666,47.66735271531705,7.7905043784071335,3920.2,1607553,False,True
27365,2566.6222222222223,1459.2444444444445,35.75051453648779,6.746774699994475,4096.2,1562158,False,False
27366,2567.159090909091,2096.659090909091,34.95605865789917,6.671389376383242,2762.159090909091,1277228,False,False
27367,2566.125,2106.3333333333335,19.06694108612682,4.927147591456165,2869.125,1311718,False,False
27368,2567.7608695652175,2296.7608695652175,36.544970415076406,6.821326959884849,5297.065217391304,2259893,False,True
27369,2567.85,2458.95,47.66735271531705,7.7905043784071335,4325.5,1635214,False,False
27370,2569.3203883495144,3226.8349514563106,81.8289554946276,10.207245565779907,6208.582524271845,2624123,False,True
27371,2567.5625,3664.71875,50.84517622967152,8.045998324300477,4955.609375,2188867,False,False
27372,2567.574712643678,3776.2183908045977,69.11766143720973,9.381009528908498,4000.8275862068967,1802326,False,True
27373,2568.4313725490197,458.03921568627453,40.51724980801949,7.182490146145945,6585.803921568628,2498880,False,False
27374,2568.78,764.26,39.72279392943088,7.111724970660583,5039.04,2064657,False,False
